eta,steps,mse,avg_time
0.0,20,2.6990630626678467,1.541005837991371
0.0,30,2.642838478088379,2.290922218227979
0.0,50,2.581705093383789,3.8178349503819247
0.0,100,2.544108390808105,7.633849573431548
0.0,150,2.520568609237671,11.452578857078317
0.0,200,2.502804040908813,15.23800832292308
0.0,249,2.492671012878418,18.843959595105662
0.2,20,2.4393320083618164,1.5169067234726423
0.2,30,2.3790063858032227,2.2651347121836976
0.2,50,2.331604242324829,3.7827180838732986
0.2,100,2.2928290367126465,7.565125620883444
0.2,150,2.270371675491333,11.34621999278572
0.2,200,2.268726110458374,15.132041030789011
0.2,249,2.257474184036255,18.751365079642824
0.5,20,2.1451869010925293,1.5044860084604772
0.5,30,2.1274516582489014,2.256956199681537
0.5,50,2.106543064117432,3.764164150131415
0.5,100,2.092965841293335,7.524848453746819
0.5,150,2.0831298828125,11.28703036515609
0.5,200,2.089351892471313,15.053870707565212
0.5,249,2.088261604309082,18.73484456317025
0.7,20,2.0435025691986084,1.5040113407632578
0.7,30,2.0491464138031006,2.256454725443206
0.7,50,2.0420022010803223,3.762228195711693
0.7,100,2.0283706188201904,7.524880931984564
0.7,150,2.038487195968628,11.295896490168127
0.7,200,2.0375044345855717,15.05943575112716
0.7,249,2.037734270095825,18.747054536890538
0.9,20,2.019014835357666,1.5052565787889942
0.9,30,2.0212130546569824,2.2590580341978845
0.9,50,2.016556978225708,3.7632507552271295
0.9,100,2.0136730670928955,7.527636212591799
0.9,150,2.015408515930176,14.78148415221931
0.9,200,2.0090389251708984,19.569358578379852
0.9,249,2.008404016494751,24.41254036322884
1.0,20,2.0013468265533447,1.981593222351548
1.0,30,2.001746654510498,3.0007572781225167
1.0,50,2.0077462196350098,4.943850047840095
1.0,100,1.9998209476470947,9.722070962005521
1.0,150,1.994133472442627,14.771384761940618
1.0,200,2.001490831375122,17.567575521350648
1.0,249,2.003469944000244,18.87426603506811
